Date,Heartrate
2019-10-21 14:47:54,66
2019-10-21 14:47:55,67
2019-10-21 14:47:56,73
2019-10-21 14:47:57,76
2019-10-21 14:47:59,77
2019-10-21 14:48:00,78
2019-10-21 14:48:05,79
2019-10-21 14:48:07,78
2019-10-21 14:48:10,77
2019-10-21 14:48:11,76
2019-10-21 14:48:13,75
2019-10-21 14:48:17,76
2019-10-21 14:48:18,77
2019-10-21 14:48:21,78
2019-10-21 14:48:22,80
2019-10-21 14:48:24,81
2019-10-21 14:48:26,82
2019-10-21 14:48:27,83
2019-10-21 14:48:28,84
2019-10-21 14:48:29,85
2019-10-21 14:48:30,86
2019-10-21 14:48:32,87
2019-10-21 14:48:33,88
2019-10-21 14:48:34,89
2019-10-21 14:48:35,90
2019-10-21 14:48:38,83
2019-10-21 14:48:39,82
2019-10-21 14:48:40,83
2019-10-21 14:48:42,84
2019-10-21 14:48:45,83
2019-10-21 14:48:46,82
2019-10-21 14:48:48,77
2019-10-21 14:48:49,73
2019-10-21 14:48:50,74
2019-10-21 14:48:51,81
2019-10-21 14:48:53,84
2019-10-21 14:48:54,87
2019-10-21 14:48:55,86
2019-10-21 14:48:56,89
2019-10-21 14:48:59,90
2019-10-21 14:49:00,91
2019-10-21 14:49:01,92
2019-10-21 14:49:02,93
2019-10-21 14:49:04,94
2019-10-21 14:49:05,97
2019-10-21 14:49:06,98
2019-10-21 14:49:07,97
2019-10-21 14:49:08,98
2019-10-21 14:49:10,91
2019-10-21 14:49:11,89
2019-10-21 14:49:12,90
2019-10-21 14:49:17,91
2019-10-21 14:49:18,90
2019-10-21 14:49:22,91
2019-10-21 14:49:23,90
2019-10-21 14:49:27,92
2019-10-21 14:49:29,91
2019-10-21 14:49:33,92
2019-10-21 14:49:37,94
2019-10-21 14:49:38,95
2019-10-21 14:49:39,96
2019-10-21 14:49:40,98
2019-10-21 14:49:42,99
2019-10-21 14:49:43,100
2019-10-21 14:49:45,101
2019-10-21 14:49:46,102
2019-10-21 14:49:50,103
2019-10-21 14:49:51,104
2019-10-21 14:49:53,105
2019-10-21 14:49:54,106
2019-10-21 14:49:59,106
2019-10-21 14:50:00,105
2019-10-21 14:50:01,104
2019-10-21 14:50:06,104
2019-10-21 14:50:10,105
2019-10-21 14:50:11,104
2019-10-21 14:50:12,103
2019-10-21 14:50:15,101
2019-10-21 14:50:16,100
2019-10-21 14:50:21,98
2019-10-21 14:50:23,97
2019-10-21 14:50:24,95
2019-10-21 14:50:26,94
2019-10-21 14:50:29,95
2019-10-21 14:50:31,96
2019-10-21 14:50:34,89
2019-10-21 14:50:35,82
2019-10-21 14:50:37,79
2019-10-21 14:50:40,77
2019-10-21 14:50:42,84
2019-10-21 14:50:43,86
2019-10-21 14:50:44,87
2019-10-21 14:50:46,80
2019-10-21 14:50:48,75
2019-10-21 14:50:49,74
2019-10-21 14:50:50,73
2019-10-21 14:50:51,74
2019-10-21 14:50:53,69
2019-10-21 14:50:55,70
2019-10-21 14:50:59,72
2019-10-21 14:51:00,73
2019-10-21 14:51:01,74
2019-10-21 14:51:02,75
2019-10-21 14:51:04,76
2019-10-21 14:51:05,77
2019-10-21 14:51:06,78
2019-10-21 14:51:07,79
2019-10-21 14:51:10,80
2019-10-21 14:51:11,81
2019-10-21 14:51:13,82
2019-10-21 14:51:16,83
2019-10-21 14:51:18,84
2019-10-21 14:51:20,86
2019-10-21 14:51:22,87
2019-10-21 14:51:23,88
2019-10-21 14:51:24,89
2019-10-21 14:51:26,90
2019-10-21 14:51:27,91
2019-10-21 14:51:28,92
2019-10-21 14:51:29,91
2019-10-21 14:51:31,92
2019-10-21 14:51:32,93
2019-10-21 14:51:37,94
2019-10-21 14:51:39,95
2019-10-21 14:51:42,96
2019-10-21 14:51:43,97
2019-10-21 14:51:44,98
2019-10-21 14:51:48,99
2019-10-21 14:51:49,100
2019-10-21 14:51:50,101
2019-10-21 14:51:51,102
2019-10-21 14:51:53,104
2019-10-21 14:51:54,105
2019-10-21 14:51:56,106
2019-10-21 14:52:01,107
2019-10-21 14:52:02,108
2019-10-21 14:52:05,110
2019-10-21 14:52:06,111
2019-10-21 14:52:07,112
2019-10-21 14:52:09,113
2019-10-21 14:52:10,112
2019-10-21 14:52:11,113
2019-10-21 14:52:12,114
2019-10-21 14:52:13,113
2019-10-21 14:52:16,112
2019-10-21 14:52:18,111
2019-10-21 14:52:20,109
2019-10-21 14:52:22,108
2019-10-21 14:52:27,109
2019-10-21 14:52:28,110
2019-10-21 14:52:29,111
2019-10-21 14:52:32,113
2019-10-21 14:52:34,114
2019-10-21 14:52:36,115
2019-10-21 14:52:38,116
2019-10-21 14:52:42,115
2019-10-21 14:52:44,114
2019-10-21 14:52:45,113
2019-10-21 14:52:48,114
2019-10-21 14:52:49,115
2019-10-21 14:52:51,117
2019-10-21 14:52:53,119
2019-10-21 14:52:56,118
2019-10-21 14:53:00,117
2019-10-21 14:53:05,116
2019-10-21 14:53:07,115
2019-10-21 14:53:09,114
2019-10-21 14:53:11,113
2019-10-21 14:53:16,113
2019-10-21 14:53:18,114
2019-10-21 14:53:23,115
2019-10-21 14:53:25,114
2019-10-21 14:53:28,115
2019-10-21 14:53:29,116
2019-10-21 14:53:31,117
2019-10-21 14:53:32,118
2019-10-21 14:53:35,117
2019-10-21 14:53:38,116
2019-10-21 14:53:42,115
2019-10-21 14:53:44,114
2019-10-21 14:53:45,115
2019-10-21 14:53:49,116
2019-10-21 14:53:51,117
2019-10-21 14:53:55,116
2019-10-21 14:53:56,115
2019-10-21 14:53:59,114
2019-10-21 14:54:03,115
2019-10-21 14:54:04,116
2019-10-21 14:54:06,115
2019-10-21 14:54:07,114
2019-10-21 14:54:09,113
2019-10-21 14:54:10,112
2019-10-21 14:54:11,111
2019-10-21 14:54:13,110
2019-10-21 14:54:20,110
2019-10-21 14:54:24,110
2019-10-21 14:54:28,111
2019-10-21 14:54:29,112
2019-10-21 14:54:34,111
2019-10-21 14:54:36,112
2019-10-21 14:54:38,110
2019-10-21 14:54:39,108
2019-10-21 14:54:40,107
2019-10-21 14:54:43,105
2019-10-21 14:54:44,103
2019-10-21 14:54:47,102
2019-10-21 14:54:50,101
2019-10-21 14:54:51,100
2019-10-21 14:54:54,99
2019-10-21 14:54:55,98
2019-10-21 14:54:56,96
2019-10-21 14:55:00,97
2019-10-21 14:55:02,98
2019-10-21 14:55:04,97
2019-10-21 14:55:05,95
2019-10-21 14:55:06,94
2019-10-21 14:55:07,92
2019-10-21 14:55:09,94
2019-10-21 14:55:10,93
2019-10-21 14:55:11,92
2019-10-21 14:55:12,91
2019-10-21 14:55:13,90
2019-10-21 14:55:15,89
2019-10-21 14:55:20,90
2019-10-21 14:55:21,91
2019-10-21 14:55:26,92
2019-10-21 14:55:27,91
2019-10-21 14:55:28,90
2019-10-21 14:55:29,91
2019-10-21 14:55:32,92
2019-10-21 14:55:33,91
2019-10-21 14:55:37,90
2019-10-21 14:55:40,91
2019-10-21 14:55:45,90
2019-10-21 14:55:50,90
2019-10-21 14:55:51,91
2019-10-21 14:55:53,93
2019-10-21 14:55:55,94
2019-10-21 14:55:56,93
2019-10-21 14:55:58,94
2019-10-21 14:55:59,93
2019-10-21 14:56:00,92
2019-10-21 14:56:01,91
2019-10-21 14:56:02,89
2019-10-21 14:56:07,90
2019-10-21 14:56:09,91
2019-10-21 14:56:10,92
2019-10-21 14:56:11,93
2019-10-21 14:56:12,94
2019-10-21 14:56:14,95
2019-10-21 14:56:15,96
2019-10-21 14:56:16,97
2019-10-21 14:56:17,98
2019-10-21 14:56:18,99
2019-10-21 14:56:20,100
2019-10-21 14:56:21,101
2019-10-21 14:56:22,102
2019-10-21 14:56:23,103
2019-10-21 14:56:25,104
2019-10-21 14:56:27,103
2019-10-21 14:56:28,102
2019-10-21 14:56:29,101
2019-10-21 14:56:31,100
2019-10-21 14:56:32,99
2019-10-21 14:56:33,98
2019-10-21 14:56:36,99
2019-10-21 14:56:37,100
2019-10-21 14:56:39,102
2019-10-21 14:56:40,103
2019-10-21 14:56:42,104
2019-10-21 14:56:43,105
2019-10-21 14:56:44,106
2019-10-21 14:56:45,107
2019-10-21 14:56:47,108
2019-10-21 14:56:48,109
2019-10-21 14:56:49,110
2019-10-21 14:56:50,109
2019-10-21 14:56:51,110
2019-10-21 14:56:53,111
2019-10-21 14:56:58,113
2019-10-21 14:57:03,114
2019-10-21 14:57:05,113
2019-10-21 14:57:07,112
2019-10-21 14:57:10,111
2019-10-21 14:57:11,110
2019-10-21 14:57:12,109
2019-10-21 14:57:15,108
2019-10-21 14:57:16,107
2019-10-21 14:57:18,100
2019-10-21 14:57:20,98
2019-10-21 14:57:21,97
2019-10-21 14:57:23,98
2019-10-21 14:57:25,97
2019-10-21 14:57:26,96
2019-10-21 14:57:27,90
2019-10-21 14:57:28,87
2019-10-21 14:57:32,86
2019-10-21 14:57:33,85
2019-10-21 14:57:37,83
2019-10-21 14:57:38,82
2019-10-21 14:57:40,81
2019-10-21 14:57:42,83
2019-10-21 14:57:43,84
2019-10-21 14:57:44,80
2019-10-21 14:57:45,82
2019-10-21 14:57:47,81
2019-10-21 14:57:48,82
2019-10-21 14:57:52,83
2019-10-21 14:57:53,82
2019-10-21 14:57:54,83
2019-10-21 14:57:55,82
2019-10-21 14:58:00,82
2019-10-21 14:58:03,81
2019-10-21 14:58:04,80
2019-10-21 14:58:05,78
2019-10-21 14:58:06,77
2019-10-21 14:58:07,76
2019-10-21 14:58:12,74
2019-10-21 14:58:14,73
2019-10-21 14:58:19,73
2019-10-21 14:58:20,74
2019-10-21 14:58:21,73
2019-10-21 14:58:25,77
2019-10-21 14:58:26,79
2019-10-21 14:58:27,76
2019-10-21 14:58:32,75
2019-10-21 14:58:34,74
2019-10-21 14:58:36,75
2019-10-21 14:58:41,75
2019-10-21 14:58:43,77
2019-10-21 14:58:44,78
2019-10-21 14:58:49,78
2019-10-21 14:58:50,77
2019-10-21 14:58:52,76
2019-10-21 14:58:54,74
2019-10-21 14:58:55,73
2019-10-21 14:58:56,74
2019-10-21 14:58:58,75
2019-10-21 14:59:00,77
2019-10-21 14:59:01,78
2019-10-21 14:59:06,77
2019-10-21 14:59:07,76
2019-10-21 14:59:09,74
2019-10-21 14:59:10,73
2019-10-21 14:59:14,74
2019-10-21 14:59:15,75
2019-10-21 14:59:17,76
2019-10-21 14:59:18,77
2019-10-21 14:59:20,78
2019-10-21 14:59:21,79
2019-10-21 14:59:22,80
2019-10-21 14:59:23,81
2019-10-21 14:59:25,82
2019-10-21 14:59:26,80
2019-10-21 14:59:27,79
2019-10-21 14:59:28,80
2019-10-21 14:59:30,85
2019-10-21 14:59:31,80
2019-10-21 14:59:32,79
2019-10-21 14:59:36,80
2019-10-21 14:59:37,81
